,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Brooklyn,Kensington,4d5c12a01e43236a87eb1583,Sake Sushi,31,7.5,49
1,Brooklyn,Prospect Heights,5cb5e5f9a35f4600255406c6,Maison Yaki,80,8.3,23
2,Brooklyn,Williamsburg,51f9b7b3498eefe896caeb23,Shalom Japan,298,8.3,99
3,Brooklyn,Bedford Stuyvesant,5b3bcb69bfc6d0002ca9bf17,Warude,26,8.2,5
4,Brooklyn,Brooklyn Heights,479ccb47f964a5206b4d1fe3,Iron Chef House,143,8.2,66
5,Brooklyn,Cobble Hill,48a41073f964a52091511fe3,Hibino,486,9.1,157
6,Brooklyn,Fort Greene,5739c66c498e7ef6085cec4f,Karasu,201,8.8,35
7,Brooklyn,Park Slope,5276d39a498eb1a5d90096e4,Sushi Katsuei,246,8.8,81
8,Brooklyn,Clinton Hill,4e3cadcb1f6e844231dbe017,Waza,40,6.6,29
9,Brooklyn,Downtown,5946d138e2da1964625ca9b2,Daigo Hand Roll Bar,51,8.6,12
10,Brooklyn,Boerum Hill,58a202a25490d30f87553a08,Rice & Miso,85,8.8,19
11,Brooklyn,North Side,4c7f0887fb74236a7727f9b9,Samurai Mama,895,8.8,244
12,Brooklyn,South Side,51f9b7b3498eefe896caeb23,Shalom Japan,298,8.3,99
13,Brooklyn,Fort Hamilton,4c2678eef1272d7f43a986c5,Fushimi,73,8.0,36
14,Manhattan,Hamilton Heights,531a0207498e06b4656eb8c5,Geisha Japanese Cuisine,35,8.0,15
15,Manhattan,Upper East Side,542efa85498ea11026c9746c,Kappo Masa,30,8.3,15
16,Manhattan,Yorkville,4bc11982b492d13ad88fa560,Inase Sushi,17,7.9,11
17,Manhattan,Lenox Hill,5aa1d85d5f68b931b6f5acda,Kome Waza UES,17,8.6,3
18,Manhattan,Midtown,48c50c4bf964a520dc511fe3,Café Zaiya,385,8.2,160
19,Manhattan,Midtown,51fd77be498e883bf20fcca8,OOTOYA 大戸屋 (OOTOYA),573,8.6,130
20,Manhattan,Murray Hill,4a99b4f4f964a520f62f20e3,Kajitsu,183,8.7,70
21,Manhattan,Murray Hill,591caee89deb7d0f69be77a2,Omusubi Gonbei,14,8.4,1
22,Manhattan,Murray Hill,540dc46d498e86f0e5059dd2,Zuma New York,453,8.2,83
23,Manhattan,East Village,510c85e7e4b0056826b88297,Kura,213,9.2,62
24,Manhattan,Lower East Side,535978ff498ec5450feaef85,Azasu,70,8.2,21
25,Manhattan,Soho,51de06aa498e998d374ab4da,Hirohisa,74,8.8,28
26,Manhattan,West Village,59c5657f3b4e0073c245f3c4,Sushi on Jones (West 10th),36,8.1,6
27,Manhattan,Gramercy,56e8c670cd1017cb5460dc3f,Natsumi Tapas,48,6.9,7
28,Manhattan,Financial District,4b60c708f964a520d0f829e3,Nobu Downtown,269,8.3,84
29,Queens,Woodside,59cfbbaf491be76b026b6a84,Matsuri,9,7.5,4
30,Queens,Howard Beach,4c100cd3b93cc9b6482156e0,Hagane,13,6.6,4
31,Queens,Rego Park,4ee7eaf7469064168cac36bf,Bamboo Ya,48,7.8,17
32,Queens,Rego Park,4c24df99f7ced13a4d8a236d,Sato Sushi,8,6.6,3
33,Queens,Little Neck,53696c9b498ef94c9f2bc134,Tei Nei Ya,15,8.2,7
34,Queens,Little Neck,0,0,0,0.0,0
35,Queens,Jamaica Center,50f5979fe4b0ff6d3603e506,PP Boy Japan Teriyaki & Sushi,8,7.2,6
36,Queens,Murray Hill,4bc8eee83740b713fcbe5d65,Northern Sushi,6,7.8,2
37,Queens,Lindenwood,4b9ae1e3f964a52030df35e3,Kawaii,20,8.8,8
38,Queens,Rockaway Park,0,0,0,0.0,0
39,Queens,Rockaway Park,0,0,0,0.0,0
40,Staten Island,West Brighton,4bca626368f976b086615f83,Kyoto Sushi 5,4,6.5,5
41,Staten Island,Castleton Corners,4d06abf2c2e5370451f1c467,Tokyo Sushi Japanese,6,6.6,3
42,Staten Island,Great Kills,4b747a21f964a520e6de2de3,Arirang Hibachi Steakhouse,51,7.7,11
43,Staten Island,Eltingville,0,0,0,0.0,0
44,Staten Island,Grasmere,4bad3dcbf964a520173d3be3,Fuji Sushi,9,7.8,6
45,Staten Island,Charleston,4bc898de15a7ef3b40697bda,Buddha Lounge,11,5.8,14
46,Staten Island,Bulls Head,4b79eec8f964a520161b2fe3,Sapporo Sushi,15,6.8,13
47,Manhattan,Midtown South,51e8ce40498ea1fb0180efb2,Izakaya MEW,1054,8.8,266
48,Manhattan,Midtown South,57ab615d498eef084faa348b,Abiko Curry,132,8.3,28
49,Manhattan,Midtown South,5d7a9d59a369d40008dfcc1a,Konbini,16,8.3,2
